WAYBILL,Direccion_Destino,CITY,STATE,POSTAL_CODE,COUNTRY,DISTANCE_BILLED,Pure_Freight,Fuel_Cost,Team_D.15mILE,Total_Feight_Inv,Origen,CARRIER,FULL_Direccion_Destino,%Truck_used,WH_Address
1740379,LONDON KY 40741-7287 US,LONDON,KY,40741-7287,US,874.1,961.51,340.9,0,1302.41,,LUNA,LONDON KY 40741-7287 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1742930,BOISE ID 83706 US,BOISE,ID,83706,US,1610.5,1771.55,724.73,241.58,2737.85,,LUNA,BOISE ID 83706 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1742988,SPRINGFIELD MO 65803-9565 US,SPRINGFIELD,MO,65803-9565,US,414.2,455.62,161.54,0,617.16,,LUNA,SPRINGFIELD MO 65803-9565 US,11%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1742996,WEST SACRAMENTO CA 95691-5747 US,WEST SACRAMENTO,CA,95691-5747,US,1713.7,1885.07,788.3,257.06,2930.43,,LUNA,WEST SACRAMENTO CA 95691-5747 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1745296,HYATTSVILLE MD 20783 US,HYATTSVILLE,MD,20783,US,1358.56,1494.41,570.59,0,2065.01,,LUNA,HYATTSVILLE MD 20783 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1745302,CLEVELAND OH 44103-4905 US,CLEVELAND,OH,44103-4905,US,1392.52,1531.77,584.86,0,2116.63,,LUNA,CLEVELAND OH 44103-4905 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1746012,WEST SACRAMENTO CA 95691-5747 US,WEST SACRAMENTO,CA,95691-5747,US,1713.7,1885.07,788.3,257.06,2930.43,,LUNA,WEST SACRAMENTO CA 95691-5747 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1746048,GLEN BURNIE MD 21061-2841 US,GLEN BURNIE,MD,21061-2841,US,1379.5,1517.45,579.39,0,2096.84,,LUNA,GLEN BURNIE MD 21061-2841 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1746800,TAUNTON MA 02780-7364 US,TAUNTON,MA,02780-7364,US,1756,1931.6,825.32,263.4,3020.32,,LUNA,TAUNTON MA 02780-7364 US,11%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1747441,ROANOKE VA 24012 US,ROANOKE,VA,24012,US,1112.2,1223.42,433.76,0,1657.18,,LUNA,ROANOKE VA 24012 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1749526,DES MOINES IA 50321-1250 US,DES MOINES,IA,50321-1250,US,695,764.5,271.05,0,1035.55,,LUNA,DES MOINES IA 50321-1250 US,6%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
1749557,MARSHALL WI 53559 US,MARSHALL,WI,53559,US,986.9,1085.59,384.89,0,1470.48,,LUNA,MARSHALL WI 53559 US,11%,"306 Airline Dr Suite 100, Coppell, TX 75019 US"
